title,developer,publisher,genre,na_date,eu_date,jp_date,au_date,asia_date,kr_date,format,media,notes
Crypto by POWGI,Lightwood Games,Lightwood Games,Puzzle,No,,,,,,,,
Cure Mate Club,Atu Works,Daidai,Visual novel,Yes,,,,,,,,
Curses 'N Chaos,Tribute Games,Tribute Games,Beat 'em up,Yes (1-2 players),,,,,,,,
Cybarian: The Time Travelling Warrior,Lightwood Games,Lightwood Games,Platform,No,,,,,,,,
D.S. Dal Segno,Circus,Entergram,Visual novel,Yes,,,,,,,,
DISTRAINT: Deluxe Edition,Winterveil Studios Oy,Ratalaika Games,Adventure,No,,,,,,,,
DJMax Technika Tune,Pentavision,JP : Cyberfront WW : Pentavision,Rhythm,No,,,,,,,,
Daggerhood,Woblyware,Woblyware,Platform,No,,,,,,,,
Daidai Daisuki,Kadokawa Games,Kadokawa Games,Visual novel,No,,,,,,,,
Dairansō Dash or Dasshu!!,Planet G,Planet G,Arcade,Yes,,,,,,,,
Daisenryaku Daitōa Kōbōshi 3 Dai Niji Sekai Taisen Boppatsu! Sūjiku-gun Tai Rengō-gun Zen Sekai-sen,SystemSoft Alpha,SystemSoft Alpha,Turn-based strategy,No,,,,,,,,
Daisenryaku Exceed II,SystemSoft Alpha,SystemSoft Alpha,Turn-based strategy,Yes,,,,,,,,
Daisenryaku Perfect: Senjō no Hasha,SystemSoft Alpha,SystemSoft Alpha,Turn-based strategy,Yes,,,,,,,,
Daisenryaku Web,SystemSoft Alpha,SystemSoft Alpha,Turn-based strategy,No,,,,,,,,
Daitoshokan no Hitsujikai: Library Party,August,Aria Soft,Visual novel,Yes,,,,,,,,
Damascus Gear: Operation Osaka,A+ Games,Arc System Works,Action role-playing,Yes,,,,,,,,
Damascus Gear: Operation Tokyo,A+ Games,Arc System Works,Action role-playing,Yes,,,,,,,,
DanMachi de Shooting wa Machigatteiru Darou ka,5pb.,PQube,Shoot 'em up,No,,,,,,,,
Danball Senki W,Level-5,Level-5,Role-playing,Yes,,,,,,,,
Dance with Devils,Rejet,Rejet,Otome game,Yes,,,,,,,,
Dance with Devils: My Carol,Rejet,Rejet,Otome game,Yes,,,,,,,,
Danganronpa 2: Goodbye Despair,Spike Chunsoft,JP : Spike Chunsoft WW : NIS America,Adventure,Yes,,,,,,,,
Danganronpa Another Episode: Ultra Despair Girls,Spike Chunsoft,JP : Spike Chunsoft WW : NIS America,Action-adventure,Yes,,,,,,,,
Danganronpa V3: Killing Harmony,Spike Chunsoft,JP : Spike Chunsoft WW : NIS America,Adventure,Yes,,,,,,,,
Danganronpa: Trigger Happy Havoc,Spike Chunsoft,JP : Spike Chunsoft WW : NIS America,Adventure,Japan/North America only,,,,,,,,
Danjon ni Deai o Motomeru no wa Machigatteiru Darou ka? Infinite Combate,5pb.,PQube,Shooter,No,,,,,,,,
Daredemo Shodan ni Nareru Igo Kyōshitsu,Silver Star,Silver Star,Go,Yes,,,,,,,,
DariusBurst: Chronicle Saviours,Pyramid Chara-Ani G.rev,JP : Chara-Ani WW : Degica,Shoot 'em up,Yes,,,,,,,,
Darkest Dungeon,Red Hook Studios Sickhead Games,Red Hook Studios,Role-playing,Yes,,,,,,,,
Date A Live Twin Edition: Rio Reincarnation,Sting Entertainment,Compile Heart,Visual novel,Yes,,,,,,,,
Day D Tower Rush,Creobit,4 Hit,Real-time strategy,Yes,,,,,,,,
Day of the Tentacle Remastered,LucasArts Double Fine Productions,Double Fine Productions,Adventure,Yes,,,,,,,,
Dead Ahead: Zombie Warfare,Mobirate Studio,Mobirate Studio,Survival horror,No,,,,,,,,
Dead Nation,Housemarque,Sony Computer Entertainment,Action,Yes,,,,,,,,
Dead or Alive 5 Plus,Team Ninja,Tecmo Koei,Fighting,Yes,,,,,,,,
Dead or Alive Xtreme 3: Venus,Team Ninja,Koei Tecmo,Sports,Yes,,,,,,,,
Deadbolt,Hopoo Games,Hopoo Games,Roguelike,No,,,,,,,,
Deadman's Cross,Square Enix,Square Enix,Role-playing,No,,,,,,,,
Death Mark,Experience,JP : Nippon Ichi Software WW : Aksys Games,Adventure,Yes,,,,,,,,
Death Tales,EastAsiaSoft,EastAsiaSoft,Role-playing,No,,,,,,,,
Deathmatch Village,Bloober Team,Bloober Team,Multiplayer online battle arena,Yes,,,,,,,,
Deception IV: Blood Ties,Tecmo Koei,Tecmo Koei,Action,Yes,,,,,,,,
Deception IV: The Nightmare Princess,Koei Tecmo,Koei Tecmo,Action,Yes,,,,,,,,
Deemo: The Last Recital,Rayark Games,JP : Rayark Games NA : PM Studios,Rhythm,No,,,,,,,,
