Title,Developer,Publisher,Genre,Notes
Darkest Dungeon,Red Hook Studios Sickhead Games,Red Hook Studios,Role-playing,
Date A Live Twin Edition: Rio Reincarnation,Sting Entertainment,Compile Heart,Visual novel,
Day D Tower Rush,Creobit,4 Hit,Real-time strategy,
Day of the Tentacle Remastered,LucasArts Double Fine Productions,Double Fine Productions,Adventure,
Dead Ahead: Zombie Warfare,Mobirate Studio,Mobirate Studio,Survival horror,
Dead Nation,Housemarque,Sony Computer Entertainment,Action,
Dead or Alive 5 Plus,Team Ninja,Tecmo Koei,Fighting,
Dead or Alive Xtreme 3: Venus,Team Ninja,Koei Tecmo,Sports,
Deadbolt,Hopoo Games,Hopoo Games,Roguelike,
Deadman's Cross,Square Enix,Square Enix,Role-playing,
Death Mark,Experience,JP : Nippon Ichi Software WW : Aksys Games,Adventure,
Death Tales,EastAsiaSoft,EastAsiaSoft,Role-playing,
Deathmatch Village,Bloober Team,Bloober Team,Multiplayer online battle arena,
Deception IV: Blood Ties,Tecmo Koei,Tecmo Koei,Action,
Deception IV: The Nightmare Princess,Koei Tecmo,Koei Tecmo,Action,
Deemo: The Last Recital,Rayark Games,JP : Rayark Games NA : PM Studios,Rhythm,
Deep Ones,Burp! Games,Sometimes You,Platform,
Deep Space Rush,Ratalaika Games,Ratalaika Games,Shooter,
Defender's Quest,Level Up Labs,Level Up Labs,Tower defense role-playing,
Delta Strike: First Assault,Cerberus,Cerberus,Shooter,
Demetrios,CowCat,CowCat,Adventure,
Demon Gaze,Experience,JP : Kadokawa Games WW : NIS America,Dungeon crawler,
Demon Gaze II,Experience,JP : Kadokawa Games WW : NIS America,Dungeon crawler,
"Demon Rush, The: Legends Corrupt",Dragoon Entertainment Ltd.,Dragoon Entertainment Ltd.,Role-playing,
Demon's Tier+,CowCat,CowCat,Dungeon crawler,
Dengeki Bunko: Fighting Climax,Ecole Software French Bread,Sega,Fighting,
Dengeki Bunko: Fighting Climax Ignition,Ecole Software French Bread,Sega,Fighting,
Desert Ashes,Nine Tales Digital,Nine Tales Digital,Tower defense,
Desire Remaster Version,El Dia,Red Flagship,Visual novel Adventure,
Destiny of Spirits,Japan Studio Q Entertainment,Sony Computer Entertainment,Strategy role-playing,
Devious Dungeon,Ratalaika Games,Noodlecake Studios,Platform,
Devious Dungeon 2,Ratalaika Games,Noodlecake Studios,Platform,
Dex,Dreadlocks Ltd,BadLand Games,Action role-playing,
Diabolik Lovers Limited V Edition,Rejet Otomate,Idea Factory,Otome game,
Diabolik Lovers: Dark Fate,Rejet Otomate,Idea Factory,Otome game,
Diabolik Lovers: Lost Eden,Rejet Otomate,Idea Factory,Otome game,
Diabolik Lovers: Lunatic Parade,Rejet Otomate,Idea Factory,Otome game,
"Diabolik Lovers: More,Blood Limited V Edition",Rejet Otomate,Idea Factory,Otome game,
Diabolik Lovers: Vandead Carnival,Rejet Otomate,Idea Factory,Otome game,
Die! Die! Die!,iFun4All,iFun4All,Tower defense,
Digimon Story: Cyber Sleuth,Media.Vision,Bandai Namco Games,Role-playing,
Digimon Story: Cyber Sleuth – Hacker's Memory,Media.Vision,Bandai Namco Entertainment,Role-playing,
Digimon World: Next Order,B.B. Studio,Bandai Namco Entertainment,Role-playing,
Dino Dini's Kick Off Revival,Koo Games,The Digital Lounge,Sports,
Disgaea 3: Absence of Detention,Nippon Ichi Software,Nippon Ichi Software,Tactical role-playing,
Disgaea 4: A Promise Revisited,Nippon Ichi Software,Nippon Ichi Software,Tactical role-playing,
Disney Infinity: Marvel Super Heroes,Avalanche Software,Disney Interactive Studios,Action-adventure,
Divekick,Iron Galaxy Studios One True Game Studios,Iron Galaxy Studios,Fighting,
Doctor Who: The Eternity Clock,Supermassive Games,BBC Worldwide,"Adventure, puzzle",
Dogimegi Inryoku-chan: Love & Peace,Arc System Works,Arc System Works,Platform,
Doki-Doki Universe,HumaNature Studios,Sony Computer Entertainment,Adventure,
Dokuro,Game Arts,GungHo Online Entertainment,Puzzle-platform,
